#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:O60602	uniprotkb:C3PTT6	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-3505892	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:c3ptt6_human(display_long)|uniprotkb:PAUF(gene name)|psi-mi:PAUF(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Park et al. (2011)	pubmed:20802527|imex:IM-15762	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1262"(I2D)	intact:EBI-3505977|imex:IM-15762-5	intact-miscore:0.40
uniprotkb:O60602	uniprotkb:Q9BRX8	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-4399402|uniprotkb:B2RD81|uniprotkb:Q6UW08|uniprotkb:Q8N2K3|uniprotkb:Q8NBK9|uniprotkb:Q96JR0	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:pxl2a_human(display_long)|uniprotkb:C10orf58(gene name synonym)|uniprotkb:PAMM(gene name synonym)|uniprotkb:Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes(gene name synonym)|uniprotkb:PRXL2A(gene name)|psi-mi:PRXL2A(display_short)|uniprotkb:FAM213A(gene name synonym)|uniprotkb:Redox-regulatory protein FAM213A(gene name synonym)|uniprotkb:PRO2290(orf name)|uniprotkb:PSEC0139(orf name)|uniprotkb:UNQ611/PRO1198(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21773313|imex:IM-25778-4351	intact-miscore:0.35
uniprotkb:O60602	uniprotkb:Q96HY6-2	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-21517119	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:q96hy6-2(display_long)|uniprotkb:DDRGK1(gene name)|psi-mi:DDRGK1(display_short)|uniprotkb:C20orf116(gene name synonym)|uniprotkb:UFBP1(gene name synonym)|uniprotkb:Dashurin(gene name synonym)|uniprotkb:UFM1-binding and PCI domain-containing protein 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21773313|imex:IM-25778-4351	intact-miscore:0.35
uniprotkb:O60602	uniprotkb:O95476	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-5323433|uniprotkb:D3DTN7|uniprotkb:Q96GQ9	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:cnep1_human(display_long)|uniprotkb:CTDNEP1(gene name)|psi-mi:CTDNEP1(display_short)|uniprotkb:DULLARD(gene name synonym)|uniprotkb:Serine/threonine-protein phosphatase dullard(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21773313|imex:IM-25778-4351	intact-miscore:0.35
uniprotkb:O60602	uniprotkb:O75911	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-2859457|uniprotkb:Q9BUC8|uniprotkb:Q6UY38|uniprotkb:Q5VUY3|uniprotkb:B2R7F3	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:dhrs3_human(display_long)|uniprotkb:DHRS3(gene name)|psi-mi:DHRS3(display_short)|uniprotkb:DD83.1(gene name synonym)|uniprotkb:Retinal short-chain dehydrogenase/reductase 1(gene name synonym)|uniprotkb:RDH17(gene name synonym)|uniprotkb:Retinol dehydrogenase 17(gene name synonym)|uniprotkb:SDR16C1(gene name synonym)|uniprotkb:Short chain dehydrogenase/reductase family 16C member 1(gene name synonym)|uniprotkb:UNQ2424/PRO4983(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21773313|imex:IM-25778-4351	intact-miscore:0.35
uniprotkb:O60602	uniprotkb:O60476	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-2681868|uniprotkb:Q9H510	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:ma1a2_human(display_long)|uniprotkb:MAN1A2(gene name)|psi-mi:MAN1A2(display_short)|uniprotkb:MAN1B(gene name synonym)|uniprotkb:Mannosidase alpha class 1A member 2(gene name synonym)|uniprotkb:Processing alpha-1,2-mannosidase IB(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21773313|imex:IM-25778-4351	intact-miscore:0.35
uniprotkb:P05067	uniprotkb:O60602	intact:EBI-77613|uniprotkb:Q16011|uniprotkb:Q16014|uniprotkb:Q16019|uniprotkb:Q16020|uniprotkb:Q9BT38|uniprotkb:Q9UCA9|uniprotkb:Q9UCB6|uniprotkb:B4DII8|uniprotkb:B2R5V1|uniprotkb:D3DSD1|uniprotkb:D3DSD2|uniprotkb:D3DSD3|uniprotkb:P09000|uniprotkb:P78438|uniprotkb:Q13764|uniprotkb:Q13778|uniprotkb:Q13793|uniprotkb:Q6GSC0|uniprotkb:Q8WZ99|uniprotkb:Q9UC33|uniprotkb:Q9UCC8|uniprotkb:Q9UCD1|uniprotkb:Q9UQ58	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:a4_human(display_long)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)|uniprotkb:APP(gene name)|psi-mi:APP(display_short)|uniprotkb:A4(gene name synonym)|uniprotkb:AD1(gene name synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Chakrabarty et al. (2018)	pubmed:30158114|imex:IM-27502	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21272870|imex:IM-27502-1	intact-miscore:0.40
uniprotkb:P05067-PRO_0000000092	uniprotkb:O60602	intact:EBI-821758	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:p05067-pro_0000000092(display_long)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:APP(gene name)|psi-mi:APP(display_short)|uniprotkb:A4(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chakrabarty et al. (2018)	pubmed:30158114|imex:IM-27502	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21273633|imex:IM-27502-3	intact-miscore:0.56
intact:EBI-14348029	uniprotkb:O60602	-	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:abeta-42-oligomer_human(display_short)|psi-mi:EBI-14348029(display_long)|intact:pre-fibrillar amyloid-beta oligomer(complex synonym)|intact:prefibrillar amyloid-beta oligomer(complex synonym)|intact:Type 2 amyloid-beta oligomer(complex synonym)|intact:fibrillar amyloid-beta oligomer(complex synonym)|intact:Annular protofibril complex(complex synonym)|intact:Amyloid-beta fibrils(complex synonym)|intact:beta-amyloid protein 42 heterooligomer(complex synonym)|intact:beta-amyloid protein 42 complex(complex synonym)|intact:beta-amyloid-42 complex(complex synonym)|intact:beta amyloid protein 42 complex(complex synonym)|intact:amyloid-beta-42 complex(complex synonym)|intact:amyloid beta protein 42 complex(complex synonym)|intact:amyloid-beta protein 42 heterooligomer(complex synonym)|intact:amyloid-beta-42 heterooligomer(complex synonym)|intact:amyloid beta protein 42 heterooligomer(complex synonym)|intact:beta-amyloid-42 heterooligomer(complex synonym)|intact:beta amyloid protein 42 heterooligomer(complex synonym)|intact:Abeta protein 42 complex(complex synonym)|intact:Amyloid-beta protein 42 oligomeric complex(complex recommended name)|intact:APP oligomer(complex systematic name)|intact:Type 1 amyloid-beta oligomer(complex synonym)|intact:ADDL complex(complex synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chakrabarty et al. (2018)	pubmed:30158114|imex:IM-27502	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21273637|imex:IM-27502-5	intact-miscore:0.56
uniprotkb:P05067-PRO_0000000092	uniprotkb:O60602	intact:EBI-821758	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:p05067-pro_0000000092(display_long)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:APP(gene name)|psi-mi:APP(display_short)|uniprotkb:A4(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chakrabarty et al. (2018)	pubmed:30158114|imex:IM-27502	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21273641|imex:IM-27502-7	intact-miscore:0.56
uniprotkb:P05067-PRO_0000000093	uniprotkb:O60602	intact:EBI-2431589|intact:EBI-20772365	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:p05067-pro_0000000093(display_long)|uniprotkb:APP(gene name)|psi-mi:APP(display_short)|uniprotkb:A4(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chakrabarty et al. (2018)	pubmed:30158114|imex:IM-27502	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21273647|imex:IM-27502-9	intact-miscore:0.56
uniprotkb:P05067-PRO_0000000093	uniprotkb:O60602	intact:EBI-2431589|intact:EBI-20772365	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:p05067-pro_0000000093(display_long)|uniprotkb:APP(gene name)|psi-mi:APP(display_short)|uniprotkb:A4(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chakrabarty et al. (2018)	pubmed:30158114|imex:IM-27502	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21273665|imex:IM-27502-11	intact-miscore:0.56
uniprotkb:P05067-PRO_0000000092	uniprotkb:O60602	intact:EBI-821758	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:p05067-pro_0000000092(display_long)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:APP(gene name)|psi-mi:APP(display_short)|uniprotkb:A4(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0969"(bio-layer interferometry)	Chakrabarty et al. (2018)	pubmed:30158114|imex:IM-27502	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21273679|imex:IM-27502-13	intact-miscore:0.56
intact:EBI-14348029	uniprotkb:O60602	-	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:abeta-42-oligomer_human(display_short)|psi-mi:EBI-14348029(display_long)|intact:pre-fibrillar amyloid-beta oligomer(complex synonym)|intact:prefibrillar amyloid-beta oligomer(complex synonym)|intact:Type 2 amyloid-beta oligomer(complex synonym)|intact:fibrillar amyloid-beta oligomer(complex synonym)|intact:Annular protofibril complex(complex synonym)|intact:Amyloid-beta fibrils(complex synonym)|intact:beta-amyloid protein 42 heterooligomer(complex synonym)|intact:beta-amyloid protein 42 complex(complex synonym)|intact:beta-amyloid-42 complex(complex synonym)|intact:beta amyloid protein 42 complex(complex synonym)|intact:amyloid-beta-42 complex(complex synonym)|intact:amyloid beta protein 42 complex(complex synonym)|intact:amyloid-beta protein 42 heterooligomer(complex synonym)|intact:amyloid-beta-42 heterooligomer(complex synonym)|intact:amyloid beta protein 42 heterooligomer(complex synonym)|intact:beta-amyloid-42 heterooligomer(complex synonym)|intact:beta amyloid protein 42 heterooligomer(complex synonym)|intact:Abeta protein 42 complex(complex synonym)|intact:Amyloid-beta protein 42 oligomeric complex(complex recommended name)|intact:APP oligomer(complex systematic name)|intact:Type 1 amyloid-beta oligomer(complex synonym)|intact:ADDL complex(complex synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0969"(bio-layer interferometry)	Chakrabarty et al. (2018)	pubmed:30158114|imex:IM-27502	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21273691|imex:IM-27502-15	intact-miscore:0.56
uniprotkb:P05067-PRO_0000000093	uniprotkb:O60602	intact:EBI-2431589|intact:EBI-20772365	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:p05067-pro_0000000093(display_long)|uniprotkb:APP(gene name)|psi-mi:APP(display_short)|uniprotkb:A4(gene name synonym)|uniprotkb:AD1(gene name synonym)|uniprotkb:ABPP(gene name synonym)|uniprotkb:Alzheimer disease amyloid protein(gene name synonym)|uniprotkb:Cerebral vascular amyloid peptide(gene name synonym)|uniprotkb:PreA4(gene name synonym)|uniprotkb:Protease nexin-II(gene name synonym)|uniprotkb:APPI(gene name synonym)|uniprotkb:Amyloid precursor protein(gene name synonym)|uniprotkb:Amyloid-beta A4 protein(gene name synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0969"(bio-layer interferometry)	Chakrabarty et al. (2018)	pubmed:30158114|imex:IM-27502	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0486"(UniProt)	intact:EBI-21273698|imex:IM-27502-17	intact-miscore:0.56
uniprotkb:A0A0H3NMJ6	uniprotkb:Q9JLF7	intact:EBI-6548383	intact:EBI-6548397	psi-mi:a0a0h3nmj6_salts(display_long)|uniprotkb:fliC(gene name)|psi-mi:fliC(display_short)|uniprotkb:SL1344_1888(locus name)	psi-mi:tlr5_mouse(display_long)|uniprotkb:Tlr5(gene name)|psi-mi:Tlr5(display_short)	psi-mi:"MI:0096"(pull down)	Mathur et al. (2012)	pubmed:23101627|imex:IM-18684	taxid:216597(salts)|taxid:216597("Salmonella typhimurium (strain SL1344)")	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6548657|imex:IM-18684-8	intact-miscore:0.50
uniprotkb:Q56086	uniprotkb:Q9JLF7	intact:EBI-6548623|uniprotkb:A0A0C9BAB7|uniprotkb:A0A3U8KXS2|uniprotkb:Q7AMS1|uniprotkb:Q7CAP0	intact:EBI-6548397	psi-mi:q56086_salti(display_long)|uniprotkb:flag(gene name)|psi-mi:flag(display_short)|uniprotkb:fliC(gene name synonym)|uniprotkb:AAC01_03425(orf name)|uniprotkb:AAC52_04640(orf name)|uniprotkb:AU794_12275(orf name)|uniprotkb:AVE86_03185(orf name)|uniprotkb:AXU49_00935(orf name)|uniprotkb:CAJ75_06555(orf name)|uniprotkb:CAJ76_06505(orf name)|uniprotkb:CAJ80_03375(orf name)|uniprotkb:CAJ85_04575(orf name)|uniprotkb:CAK12_09740(orf name)|uniprotkb:CAK24_00935(orf name)|uniprotkb:CAK32_00935(orf name)|uniprotkb:CAK36_00935(orf name)|uniprotkb:CAK56_11070(orf name)|uniprotkb:CAK57_06540(orf name)|uniprotkb:CAK71_03855(orf name)|uniprotkb:CAL67_12145(orf name)|uniprotkb:CC907_12870(orf name)|uniprotkb:CC972_07575(orf name)|uniprotkb:D4X52_07815(orf name)|uniprotkb:D4Z37_07295(orf name)|uniprotkb:D5X14_06670(orf name)|uniprotkb:D6Q20_00965(orf name)|uniprotkb:D6Q30_02125(orf name)|uniprotkb:D6Q31_03665(orf name)|uniprotkb:DKA88_09025(orf name)|uniprotkb:DNI81_06740(orf name)|uniprotkb:DNM71_02830(orf name)|uniprotkb:DNV09_19665(orf name)|uniprotkb:DOW09_05440(orf name)|uniprotkb:DPD82_00965(orf name)|uniprotkb:DPP40_05535(orf name)|uniprotkb:DQ941_06675(orf name)|uniprotkb:DS261_05445(orf name)|uniprotkb:DUQ91_05450(orf name)|uniprotkb:DUV11_05550(orf name)|uniprotkb:DVG36_04795(orf name)|uniprotkb:EBC23_07965(orf name)|uniprotkb:EBC38_05305(orf name)|uniprotkb:ECD38_00940(orf name)|uniprotkb:CAM45_05350(orf name)|uniprotkb:CB224_05025(orf name)|uniprotkb:CC759_09990(orf name)|uniprotkb:CC884_04670(orf name)|uniprotkb:EI477_00940(orf name)|uniprotkb:EI814_00940(orf name)|uniprotkb:EID90_03425(orf name)|uniprotkb:EIW77_00940(orf name)|uniprotkb:EIE00_00940(orf name)|uniprotkb:EIE07_13095(orf name)|uniprotkb:EIE09_02135(orf name)|uniprotkb:EJG85_07075(orf name)|uniprotkb:EJO28_04675(orf name)|uniprotkb:ELQ62_04395(orf name)|uniprotkb:ETB62_03610(orf name)|uniprotkb:EU258_20805(orf name)|uniprotkb:EU445_05305(orf name)|uniprotkb:EU459_06660(orf name)|uniprotkb:EU867_00940(orf name)|uniprotkb:EUB90_16410(orf name)|uniprotkb:EVI00_00940(orf name)|uniprotkb:EVT89_04530(orf name)|uniprotkb:EXQ16_05005(orf name)|uniprotkb:F9R11_00935(orf name)|uniprotkb:F9Y21_00935(orf name)|uniprotkb:FI137_03295(orf name)|uniprotkb:GDI29_00935(orf name)|uniprotkb:GDI57_00935(orf name)|uniprotkb:ZZ17_03360(orf name)|uniprotkb:ZZ24_02685(orf name)|uniprotkb:ZZ85_04710(orf name)|uniprotkb:t0918(locus name)|uniprotkb:CK363_07670(orf name)|uniprotkb:DSF54_09530(orf name)|uniprotkb:ABP05_13155(orf name)|uniprotkb:AXU46_03610(orf name)	psi-mi:tlr5_mouse(display_long)|uniprotkb:Tlr5(gene name)|psi-mi:Tlr5(display_short)	psi-mi:"MI:0096"(pull down)	Mathur et al. (2012)	pubmed:23101627|imex:IM-18684	taxid:90370(salti)|taxid:90370(Salmonella typhi)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6548638|imex:IM-18684-6	intact-miscore:0.50
