Entry	Protein names	Gene names	Organism	yourlist:M202009295C475328CEF75220C360D524E9D456CE4ACE54C	Entry name	Function [CC]	Status	Interacts with	Induction	Tissue specificity	Gene ontology (molecular function)	Gene ontology (biological process)	Subcellular location [CC]
P46156	Gallinacin-1 (Gal-1) (Beta-defensin 1)	GAL1	Gallus gallus (Chicken)		GLL1_CHICK	FUNCTION: Has bactericidal activity. Potent activity against E.coli ML-35, L.monocytogenes EGD and C.albicans. {ECO:0000269|PubMed:8150085}.	reviewed		INDUCTION: Induced in the theca layer of the F3 stage ovarian follicle by intravenous injection of LPS. Repressed in the granulosa layer of the F3 stage ovarian follicle by intravenous injection of LPS. Expression in cultured vaginal cells is increased by LPS and S.enteritidis. Expression in the kidney and liver is not affected by intravenous injection of LPS. {ECO:0000269|PubMed:16394622, ECO:0000269|PubMed:17244739}.	TISSUE SPECIFICITY: Strong expression in the bone marrow, lung, testis. Moderate expression in the bursa and intestine. Low expression in the cloaca, gall bladder, brain and pancreas. Expressed in the vagina, ovarian stroma and the theca and granulosa layers of the ovarian follicle. {ECO:0000269|PubMed:15148642, ECO:0000269|PubMed:16394622, ECO:0000269|PubMed:17244739}.	CCR6 chemokine receptor binding [GO:0031731]; chemoattractant activity [GO:0042056]	cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; defense response [GO:0006952]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; killing of cells of other organism [GO:0031640]	SUBCELLULAR LOCATION: Secreted. Cytoplasmic granule.
A0A140T8H2	Uncharacterized protein	AvBD3	Gallus gallus (Chicken)		A0A140T8H2_CHICK		unreviewed				CCR6 chemokine receptor binding [GO:0031731]; chemoattractant activity [GO:0042056]	cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; defense response to bacterium [GO:0042742]	
Q6IV26	Gallinacin-5 (Gal-5) (Beta-defensin 5) (Gallinacin-9) (Gal-9)	GAL5	Gallus gallus (Chicken)		GLL5_CHICK	FUNCTION: Has bactericidal activity. {ECO:0000250, ECO:0000269|PubMed:17346671}.	reviewed			TISSUE SPECIFICITY: Strong expression in the tongue and bone marrow. Low expression in the esophagus, trachea, lung, brain and ovary. Expressed in the ovarian stroma, but not in the ovarian follicles. {ECO:0000269|PubMed:15148642, ECO:0000269|PubMed:15310403, ECO:0000269|PubMed:17244739, ECO:0000269|PubMed:17346671}.	CCR6 chemokine receptor binding [GO:0031731]; chemoattractant activity [GO:0042056]	cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; defense response to bacterium [GO:0042742]	SUBCELLULAR LOCATION: Secreted. Cytoplasmic granule {ECO:0000250}.
Q6GXJ1	Gallinacin-4 (Gal-4) (Beta-defensin 4) (Gallinacin-7) (Gal-7)	GAL4	Gallus gallus (Chicken)		GLL4_CHICK	FUNCTION: Has bactericidal activity. Potent activity against S.typhimurium and S.entiriditis. {ECO:0000269|PubMed:17346671}.	reviewed			TISSUE SPECIFICITY: Strong expression in the bone marrow and testis. Widely expressed. Weak expression in the ovarian stroma, but not expressed in the ovarian follicles. {ECO:0000269|PubMed:15148642, ECO:0000269|PubMed:15310403, ECO:0000269|PubMed:17244739, ECO:0000269|PubMed:17346671}.	CCR6 chemokine receptor binding [GO:0031731]; chemoattractant activity [GO:0042056]	cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]	SUBCELLULAR LOCATION: Secreted. Cytoplasmic granule {ECO:0000250}.
A0A3Q2TTA1	Uncharacterized protein	AvBD14	Gallus gallus (Chicken)		A0A3Q2TTA1_CHICK		unreviewed					defense response [GO:0006952]	
Q52Z74	CD1.2 antigen (T-cell surface glycoprotein CD1A2 antigen)	CD1.2 CD1A2 CD1B	Gallus gallus (Chicken)		Q52Z74_CHICK		unreviewed				endogenous lipid antigen binding [GO:0030883]; exogenous lipid antigen binding [GO:0030884]; lipopeptide binding [GO:0071723]	antigen processing and presentation, endogenous lipid antigen via MHC class Ib [GO:0048006]; antigen processing and presentation, exogenous lipid antigen via MHC class Ib [GO:0048007]; positive regulation of T cell mediated cytotoxicity [GO:0001916]	
A0A1D5PK32	T-cell surface antigen T4/Leu-3 (T-cell surface glycoprotein CD4)	CD4	Gallus gallus (Chicken)		A0A1D5PK32_CHICK		unreviewed				coreceptor activity [GO:0015026]	adaptive immune response [GO:0002250]	
F1NGI9	T-cell surface antigen T4/Leu-3 (T-cell surface glycoprotein CD4)	CD4	Gallus gallus (Chicken)		F1NGI9_CHICK		unreviewed				coreceptor activity [GO:0015026]; MHC class II protein binding [GO:0042289]; protein tyrosine kinase binding [GO:1990782]	adaptive immune response [GO:0002250]; interleukin-15-mediated signaling pathway [GO:0035723]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; signal transduction [GO:0007165]; T cell activation [GO:0042110]	
A0A3Q2UGR6	Ig-like domain-containing protein	CD7	Gallus gallus (Chicken)		A0A3Q2UGR6_CHICK		unreviewed				signaling receptor activity [GO:0038023]	adaptive immune response [GO:0002250]	
F6RFK3	Ig-like domain-containing protein	CD8BP	Gallus gallus (Chicken)		F6RFK3_CHICK		unreviewed				coreceptor activity [GO:0015026]; MHC class I protein binding [GO:0042288]	regulation of immune response [GO:0050776]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004479}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004479}.
A0A3Q3A7M3	Uncharacterized protein	CD99	Gallus gallus (Chicken)		A0A3Q3A7M3_CHICK		unreviewed						
E1BRC1	Uncharacterized protein	CD99	Gallus gallus (Chicken)		E1BRC1_CHICK		unreviewed					homotypic cell-cell adhesion [GO:0034109]; positive regulation of neutrophil extravasation [GO:2000391]; T cell extravasation [GO:0072683]	
A0A3Q2UID1	LRRCT domain-containing protein	CD180	Gallus gallus (Chicken)		A0A3Q2UID1_CHICK		unreviewed				transmembrane signaling receptor activity [GO:0004888]	immune response [GO:0006955]; toll-like receptor signaling pathway [GO:0002224]	
E1BRV3	LRRCT domain-containing protein	CD180	Gallus gallus (Chicken)		E1BRV3_CHICK		unreviewed				transmembrane signaling receptor activity [GO:0004888]	B cell proliferation involved in immune response [GO:0002322]; cellular response to lipopolysaccharide [GO:0071222]; positive regulation of lipopolysaccharide-mediated signaling pathway [GO:0031666]; toll-like receptor signaling pathway [GO:0002224]	
Q5ZKJ6	Uncharacterized protein	CD200 RCJMB04_10g5	Gallus gallus (Chicken)		Q5ZKJ6_CHICK		unreviewed					heterotypic cell-cell adhesion [GO:0034113]; negative regulation of matrix metallopeptidase secretion [GO:1904465]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; positive regulation of arginase activity [GO:0150072]; positive regulation of CREB transcription factor activity [GO:0032793]; positive regulation of protein-glutamine gamma-glutamyltransferase activity [GO:0150074]; positive regulation of transforming growth factor beta production [GO:0071636]	
A0A1L1RR39	Uncharacterized protein	CD276	Gallus gallus (Chicken)		A0A1L1RR39_CHICK		unreviewed						
F1NI56	Uncharacterized protein	CD276	Gallus gallus (Chicken)		F1NI56_CHICK		unreviewed				identical protein binding [GO:0042802]; signaling receptor binding [GO:0005102]	negative regulation of inflammatory response [GO:0050728]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of T cell proliferation [GO:0042130]; positive regulation of bone mineralization [GO:0030501]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of T cell proliferation [GO:0042102]; regulation of cytokine production [GO:0001817]; regulation of immune response [GO:0050776]; T cell activation [GO:0042110]; T cell receptor signaling pathway [GO:0050852]	
F1NL84	Uncharacterized protein	CNTN3	Gallus gallus (Chicken)		F1NL84_CHICK		unreviewed						
A0A3Q3A854	Contactin-5	CNTN5	Gallus gallus (Chicken)		A0A3Q3A854_CHICK		unreviewed						
F1NYN7	Contactin-5	CNTN5	Gallus gallus (Chicken)		F1NYN7_CHICK		unreviewed					presynapse assembly [GO:0099054]; sensory perception of sound [GO:0007605]	
Q90W79	Contactin-5 (F11 axonin-1-related protein 2) (FAR-2)	CNTN5 FAR2	Gallus gallus (Chicken)		CNTN5_CHICK	FUNCTION: Contactins mediate cell surface interactions during nervous system development. May contribute to the formation of somatotopic maps of cerebellar afferents during the development of the nervous system. {ECO:0000269|PubMed:11461156}.	reviewed			TISSUE SPECIFICITY: Expressed by subpopulations of Purkinje cells in the cerebellum. Also expressed by one type of Purkinje cell afferents, the climbing fibers. {ECO:0000269|PubMed:11461156}.		cell adhesion [GO:0007155]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}.
F1NE09	Cytoplasmic FMR1-interacting protein	CYFIP2	Gallus gallus (Chicken)		F1NE09_CHICK		unreviewed				Rac GTPase binding [GO:0048365]	activation of cysteine-type endopeptidase activity [GO:0097202]; apoptotic process [GO:0006915]; cell-cell adhesion [GO:0098609]; cell morphogenesis [GO:0000902]; dendrite extension [GO:0097484]; positive regulation of neurotrophin TRK receptor signaling pathway [GO:0051388]; regulation of actin filament polymerization [GO:0030833]	
A0A1D5PUM9	FAM83 domain-containing protein	FAM83H	Gallus gallus (Chicken)		A0A1D5PUM9_CHICK		unreviewed				keratin filament binding [GO:1990254]; protein kinase binding [GO:0019901]	intermediate filament cytoskeleton organization [GO:0045104]; positive regulation of cell migration [GO:0030335]; protein localization to cytoskeleton [GO:0044380]; signal transduction [GO:0007165]	
E1BS42	Uncharacterized protein	FAM221A	Gallus gallus (Chicken)		E1BS42_CHICK		unreviewed						
A0A1D5P8N6	Peptidylprolyl isomerase (EC 5.2.1.8)	FKBP1B	Gallus gallus (Chicken)		A0A1D5P8N6_CHICK		unreviewed				peptidyl-prolyl cis-trans isomerase activity [GO:0003755]		
Q8QGU2	Peptidylprolyl isomerase (EC 5.2.1.8)	FKBP12.6 FKBP1B	Gallus gallus (Chicken)		Q8QGU2_CHICK		unreviewed				calcium channel inhibitor activity [GO:0019855]; cyclic nucleotide binding [GO:0030551]; drug binding [GO:0008144]; FK506 binding [GO:0005528]; ion channel binding [GO:0044325]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; signaling receptor binding [GO:0005102]	brain development [GO:0007420]; chaperone-mediated protein folding [GO:0061077]; embryo development ending in birth or egg hatching [GO:0009792]; embryonic heart tube development [GO:0035050]; heart development [GO:0007507]; insulin secretion [GO:0030073]; limb development [GO:0060173]; lung development [GO:0030324]; negative regulation of heart rate [GO:0010459]; negative regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061179]; negative regulation of phosphoprotein phosphatase activity [GO:0032515]; negative regulation of release of sequestered calcium ion into cytosol [GO:0051280]; negative regulation of ryanodine-sensitive calcium-release channel activity [GO:0060315]; neuronal action potential propagation [GO:0019227]; positive regulation of axon regeneration [GO:0048680]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of sequestering of calcium ion [GO:0051284]; protein peptidyl-prolyl isomerization [GO:0000413]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of heart rate [GO:0002027]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; regulation of ryanodine-sensitive calcium-release channel activity [GO:0060314]; release of sequestered calcium ion into cytosol [GO:0051209]; release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0014808]; response to glucose [GO:0009749]; response to hydrogen peroxide [GO:0042542]; response to organic substance [GO:0010033]; response to redox state [GO:0051775]; response to vitamin E [GO:0033197]; smooth muscle contraction [GO:0006939]; T cell proliferation [GO:0042098]	
A0A3Q2U9P1	Peptidylprolyl isomerase (EC 5.2.1.8)	FKBP4	Gallus gallus (Chicken)		A0A3Q2U9P1_CHICK		unreviewed				ATP binding [GO:0005524]; FK506 binding [GO:0005528]; glucocorticoid receptor binding [GO:0035259]; GTP binding [GO:0005525]; heat shock protein binding [GO:0031072]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; phosphoprotein binding [GO:0051219]	androgen receptor signaling pathway [GO:0030521]; chaperone-mediated protein folding [GO:0061077]; embryo implantation [GO:0007566]; male sex differentiation [GO:0046661]; prostate gland development [GO:0030850]; protein-containing complex localization [GO:0031503]; protein peptidyl-prolyl isomerization [GO:0000413]; steroid hormone receptor complex assembly [GO:0006463]	
A0A3Q3B0L8	Peptidylprolyl isomerase (EC 5.2.1.8)	FKBP4	Gallus gallus (Chicken)		A0A3Q3B0L8_CHICK		unreviewed				FK506 binding [GO:0005528]; heat shock protein binding [GO:0031072]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]		
F1NIM4	Peptidylprolyl isomerase (EC 5.2.1.8)	FKBP4	Gallus gallus (Chicken)		F1NIM4_CHICK		unreviewed				FK506 binding [GO:0005528]; heat shock protein binding [GO:0031072]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]		
E1C487	Peptidylprolyl isomerase (EC 5.2.1.8)	FKBP14	Gallus gallus (Chicken)		E1C487_CHICK		unreviewed				calcium ion binding [GO:0005509]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]		
A0A1D5PYB9	Peptidylprolyl isomerase (EC 5.2.1.8)	FKBP15	Gallus gallus (Chicken)		A0A1D5PYB9_CHICK		unreviewed				peptidyl-prolyl cis-trans isomerase activity [GO:0003755]		
F1NNV4	Peptidylprolyl isomerase (EC 5.2.1.8)	FKBP15	Gallus gallus (Chicken)		F1NNV4_CHICK		unreviewed				peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	negative regulation of phosphatase activity [GO:0010923]	
E1C7U0	Stimulator of interferon genes protein (STING) (Transmembrane protein 173)	STING1 TMEM173	Gallus gallus (Chicken)		STING_CHICK	FUNCTION: Facilitator of innate immune signaling that acts as a sensor of cytosolic DNA from bacteria and viruses and promotes the production of type I interferon (IFN-alpha and IFN-beta) (By similarity). Innate immune response is triggered in response to non-CpG double-stranded DNA from viruses and bacteria delivered to the cytoplasm (By similarity). Acts by binding cyclic dinucleotides: recognizes and binds cyclic di-GMP (c-di-GMP), a second messenger produced by bacteria, and cyclic GMP-AMP (cGAMP), a messenger produced by CGAS in response to DNA virus in the cytosol (PubMed:30842659). Upon binding of c-di-GMP or cGAMP, STING1 oligomerizes and is able to activate both NF-kappa-B and IRF3 transcription pathways to induce expression of type I interferon and exert a potent anti-viral state (PubMed:30842659). In addition to promote the production of type I interferons, plays a direct role in autophagy (By similarity). Following cGAMP-binding, STING1 buds from the endoplasmic reticulum into COPII vesicles, which then form the endoplasmic reticulum-Golgi intermediate compartment (ERGIC) (By similarity). The ERGIC serves as the membrane source for LC3 lipidation, leading to formation of autophagosomes that target cytosolic DNA or DNA viruses for degradation by the lysosome (By similarity). The autophagy- and interferon-inducing activities can be uncoupled and autophagy induction is independent of TBK1 phosphorylation (By similarity). Exhibits 2',3' phosphodiester linkage-specific ligand recognition: can bind both 2'-3' linked cGAMP and 3'-3' linked cGAMP but is preferentially activated by 2'-3' linked cGAMP (By similarity). {ECO:0000250|UniProtKB:Q86WV6, ECO:0000269|PubMed:30842659}.	reviewed				cyclic-di-GMP binding [GO:0035438]; cyclic-GMP-AMP binding [GO:0061507]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; transcription factor binding [GO:0008134]; ubiquitin protein ligase binding [GO:0031625]	activation of innate immune response [GO:0002218]; autophagosome assembly [GO:0000045]; cellular response to exogenous dsRNA [GO:0071360]; cellular response to interferon-beta [GO:0035458]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; interferon-beta production [GO:0032608]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of macroautophagy [GO:0016239]; positive regulation of protein binding [GO:0032092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type I interferon production [GO:0032481]; protein complex oligomerization [GO:0051259]; regulation of inflammatory response [GO:0050727]; reticulophagy [GO:0061709]	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q86WV6}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q86WV6}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000250|UniProtKB:Q86WV6}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000250|UniProtKB:Q86WV6}; Multi-pass membrane protein {ECO:0000255}. Note=In response to double-stranded DNA stimulation, translocates from the endoplasmic reticulum through the endoplasmic reticulum-Golgi intermediate compartment and Golgi to post-Golgi vesicles, where the kinase TBK1 is recruited. Upon cGAMP-binding, translocates to the endoplasmic reticulum-Golgi intermediate compartment (ERGIC) in a process that is dependent on COPII vesicles; STING1-containing ERGIC serves as a membrane source for LC3 lipidation, which is a key step in autophagosome biogenesis. {ECO:0000250|UniProtKB:Q86WV6}.
A0A1D5P3K6	Coagulation factor III (Tissue factor)	IFNAR2	Gallus gallus (Chicken)		A0A1D5P3K6_CHICK	FUNCTION: Initiates blood coagulation by forming a complex with circulating factor VII or VIIa. The [TF:VIIa] complex activates factors IX or X by specific limited proteolysis. TF plays a role in normal hemostasis by initiating the cell-surface assembly and propagation of the coagulation protease cascade. {ECO:0000256|ARBA:ARBA00002201}.	unreviewed				cytokine receptor activity [GO:0004896]; type I interferon receptor activity [GO:0004905]	blood coagulation [GO:0007596]; cytokine-mediated signaling pathway [GO:0019221]; type I interferon signaling pathway [GO:0060337]	
A0A1D5P7D9	Lymphocyte antigen 6E	LY6E	Gallus gallus (Chicken)		A0A1D5P7D9_CHICK		unreviewed				acetylcholine receptor inhibitor activity [GO:0030550]		
A0A3Q2U3M3	Uncharacterized protein	LY75	Gallus gallus (Chicken)		A0A3Q2U3M3_CHICK		unreviewed				carbohydrate binding [GO:0030246]	endocytosis [GO:0006897]	
A0A3Q2U460	Uncharacterized protein	LY75	Gallus gallus (Chicken)		A0A3Q2U460_CHICK		unreviewed				carbohydrate binding [GO:0030246]; signaling receptor activity [GO:0038023]	endocytosis [GO:0006897]	
F1NC84	Uncharacterized protein	LY75	Gallus gallus (Chicken)		F1NC84_CHICK		unreviewed				carbohydrate binding [GO:0030246]	endocytosis [GO:0006897]	
A0A1D5P8E6	Uncharacterized protein	NFX1	Gallus gallus (Chicken)		A0A1D5P8E6_CHICK		unreviewed				DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	negative regulation of MHC class II biosynthetic process [GO:0045347]; negative regulation of transcription by RNA polymerase II [GO:0000122]; protein autoubiquitination [GO:0051865]; regulation of transcription, DNA-templated [GO:0006355]	SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.
A0A3Q2U4A0	Uncharacterized protein	NFX1	Gallus gallus (Chicken)		A0A3Q2U4A0_CHICK		unreviewed				DNA-binding transcription factor activity [GO:0003700]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]		SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.
A0A3Q2U9Y6	Uncharacterized protein	NFX1	Gallus gallus (Chicken)		A0A3Q2U9Y6_CHICK		unreviewed				DNA-binding transcription factor activity [GO:0003700]; zinc ion binding [GO:0008270]		
C4PCK0	TLR5	TLR5	Gallus gallus (Chicken)		C4PCK0_CHICK		unreviewed				signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]	defense response to bacterium [GO:0042742]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; positive regulation of cytokine production [GO:0001819]; regulation of cytokine secretion [GO:0050707]; toll-like receptor 5 signaling pathway [GO:0034146]; toll-like receptor signaling pathway [GO:0002224]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004479}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004479}.
A0A1L1RSI0	TNF_2 domain-containing protein	TNFSF10	Gallus gallus (Chicken)		A0A1L1RSI0_CHICK		unreviewed				cytokine activity [GO:0005125]; identical protein binding [GO:0042802]; TRAIL binding [GO:0045569]; tumor necrosis factor receptor binding [GO:0005164]; zinc ion binding [GO:0008270]	immune response [GO:0006955]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}. Secreted {ECO:0000256|ARBA:ARBA00004613}.
